id	title_total_words	title_total_pictures	title_general_disruption_words	title_general_disruption_pictures	title_personal_effects_words	title_personal_effects_pictures	title_protester_messaging_words	title_protester_messaging_pictures	title_positive_comments_words	title_positive_comments_pictures	title_negative_comments_words	title_negative_comments_pictures	subtitle_total_words	subtitle_total_pictures	subtitle_general_disruption_words	subtitle_general_disruption_pictures	subtitle_personal_effects_words	subtitle_personal_effects_pictures	subtitle_protester_messaging_words	subtitle_protester_messaging_pictures	subtitle_positive_comments_words	subtitle_positive_comments_pictures	subtitle_negative_comments_words	subtitle_negative_comments_pictures	main_content_total_words	main_content_total_pictures	main_content_general_disruption_words	main_content_general_disruption_pictures	main_content_personal_effects_words	main_content_personal_effects_pictures	main_content_protester_messaging_words	main_content_protester_messaging_pictures	main_content_positive_comments_words	main_content_positive_comments_pictures	main_content_negative_comments_words	main_content_negative_comments_pictures	tagging_error
Sun_2021-10-18_ROAD-RAGE-Dramatic	17	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275	3	187	1	22	1	39	0	0	0	38	1	no
Sun_2022-11-07_LOVEDUP-Just-Stop	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	337	3	148	1	40	0	46	0	0	0	0	0	no
Telegraph_2021-02-13_I-wont-rest	13	0	0	0	0	0	0	0	0	0	0	0	21	0	21	0	0	0	0	0	0	0	0	0	339	1	106	1	57	0	0	0	0	0	0	0	no
Telegraph_2021-10-08_Insulate-Britain-protester	16	0	0	0	0	0	0	0	0	0	0	0	25	0	10	0	0	0	0	0	0	0	0	0	312	3	86	0	8	0	75	0	0	0	0	0	no
Telegraph_2022-10-16_Just-Stop-Oil	14	0	14	0	0	0	0	0	0	0	0	0	17	0	7	0	0	0	0	0	0	0	0	0	296	0	76	0	53	0	155	0	0	0	0	0	no
The-Guardian_2020-09-01_Police-arrest-dozens	9	0	9	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	354	2	185	2	10	0	80	0	0	0	39	0	no
The-Guardian_2021-04-23_Jury-acquits-Extinction	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	315	1	90	0	136	1	89	0	0	0	0	0	no
The-Guardian_2021-09-27_Climate-activists-block	11	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	361	2	116	2	17	0	158	0	0	0	49	0	no
The-Guardian_2022-10-15_It-was-terrifying	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	360	3	143	2	56	0	104	0	0	0	12	0	no
The-Guardian_2022-10-19_Do-we-really	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	339	1	72	1	0	0	0	0	0	0	98	0	no
The-Guardian_2023-01-19_Spoof-billboard-ads	13	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	290	3	182	1	0	0	98	0	0	0	0	0	no
The-Guardian_2023-01-31_Greenpeace-protesters-board	8	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	378	3	153	3	0	0	59	0	0	0	53	0	no
The-Times_2021-08-23_Officers-mobilised-as	11	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	325	0	198	0	0	0	45	0	42	0	48	0	no
The-Times_2021-09-25_Chaos-This-is	12	0	12	0	0	0	0	0	0	0	0	0	21	0	0	0	21	0	0	0	0	0	0	0	294	1	92	0	8	0	202	1	0	0	0	0	no
The-Times_2022-04-15_Just-Stop-Oil	25	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	347	1	38	0	136	0	205	0	0	0	31	0	no
