"id","weight","ideology","outlet","consumed"
33951681,1.02243301700971,2,"BBC News online",0
33964836,0.924464590075186,3,"BBC News online",1
34242710,0.950592752033376,6,"BBC News online",0
34356611,0.999122114579395,NA,"BBC News online",1
34649256,0.667132118089837,NA,"BBC News online",0
35353980,1.28042165015217,NA,"BBC News online",1
36447947,0.998037974526841,2,"BBC News online",1
36477499,0.916125581039401,NA,"BBC News online",0
36630170,0.739654295956792,3,"BBC News online",1
36639352,0.924464590075186,5,"BBC News online",1
37273045,1.00593672063042,2,"BBC News online",1
37409380,0.87751795154183,6,"BBC News online",1
37905035,1.2489648275373,1,"BBC News online",1
37998195,0.934227297451027,3,"BBC News online",1
38145824,0.823793349980589,NA,"BBC News online",0
38171943,0.976826118736406,NA,"BBC News online",1
38174841,1.03956599130216,NA,"BBC News online",0
38243482,1.42555536706801,4,"BBC News online",0
38373885,1.06535376248509,4,"BBC News online",0
38418680,0.951505177759098,7,"BBC News online",0
38464266,0.993241815873803,2,"BBC News online",0
38541683,1.02010812125039,4,"BBC News online",0
38610986,0.970574089858866,5,"BBC News online",1
38800892,1.094444637344,6,"BBC News online",1
39340838,0.90245690193347,NA,"BBC News online",1
39601149,0.899073780798858,1,"BBC News online",0
39699738,1.00985806953401,NA,"BBC News online",0
39761399,0.841918816446721,2,"BBC News online",1
39918383,0.764849955428823,6,"BBC News online",0
40197802,0.89385541742505,4,"BBC News online",0
40202000,0.89385541742505,4,"BBC News online",0
40210877,0.869116517852556,4,"BBC News online",1
40259163,0.749495366073594,3,"BBC News online",1
40418895,0.915122066222173,2,"BBC News online",0
40512087,0.950592752033376,2,"BBC News online",0
40682383,0.911608550605073,5,"BBC News online",1
40686754,0.957146637712426,4,"BBC News online",0
40699600,0.900276752673519,4,"BBC News online",1
40759921,1.22799358143051,NA,"BBC News online",0
40834767,0.953571918607351,5,"BBC News online",1
40894203,0.811823837208255,3,"BBC News online",0
40903213,0.757671940311865,NA,"BBC News online",1
40908716,1.29156740857858,NA,"BBC News online",0
40915400,1.25364480788112,4,"BBC News online",1
40973680,0.917047842597496,NA,"BBC News online",0
41245265,0.769109561176168,4,"BBC News online",0
41325769,0.939523240854489,5,"BBC News online",0
41446381,1.01250373064625,NA,"BBC News online",1
41518838,0.711901513430157,3,"BBC News online",1
41723226,0.996441464564433,5,"BBC News online",0
41730131,0.844414264278832,4,"BBC News online",0
41758666,0.832713433836335,2,"BBC News online",0
41979535,0.957146637712426,NA,"BBC News online",0
41997586,1.34462274791379,3,"BBC News online",0
42131094,1.18106677543508,4,"BBC News online",0
42171186,0.970802159453395,4,"BBC News online",0
42191810,0.821615406288972,3,"BBC News online",1
42200816,1.05093695313805,2,"BBC News online",0
42348990,1.24632386535211,2,"BBC News online",1
42436462,0.970137481428116,5,"BBC News online",0
42585715,1.15663276814745,3,"BBC News online",0
42609607,0.887444447484897,6,"BBC News online",1
42748625,1.03465290359113,4,"BBC News online",0
42763963,1.3968866021068,6,"BBC News online",1
42837333,1.03521756164282,NA,"BBC News online",1
42856198,1.05699323222968,4,"BBC News online",0
42879263,0.796046040655566,4,"BBC News online",0
42886102,0.805533573987045,3,"BBC News online",1
42887802,1.18669564292533,4,"BBC News online",0
42887921,1.04222532771776,2,"BBC News online",0
42894286,1.2758580902463,6,"BBC News online",0
42897404,0.84863250636115,4,"BBC News online",0
42944000,0.94419959074595,5,"BBC News online",0
43023604,1.09836329118528,4,"BBC News online",0
43049539,0.832713433836335,1,"BBC News online",0
43057956,0.957146637712426,6,"BBC News online",1
43066111,0.97052327275018,NA,"BBC News online",0
43068545,0.830966332152616,5,"BBC News online",0
43094495,0.880547467181152,1,"BBC News online",1
43102874,0.766899671782288,4,"BBC News online",1
43132678,1.33269126360453,2,"BBC News online",0
43151306,0.702322593003148,1,"BBC News online",1
43226291,0.973152758432742,3,"BBC News online",1
43270919,0.9464923976839,2,"BBC News online",0
43280312,0.807425181094517,6,"BBC News online",0
43396423,0.921753865059368,NA,"BBC News online",1
43423680,1.08776673904153,3,"BBC News online",0
43435157,1.00252346728541,NA,"BBC News online",1
43452326,0.686890779810034,2,"BBC News online",0
43454196,1.05790013523282,NA,"BBC News online",0
43455435,0.787615768160952,5,"BBC News online",1
43496809,0.89385541742505,4,"BBC News online",0
43681882,1.6589226451259,NA,"BBC News online",1
43713638,0.977495379401078,5,"BBC News online",0
43860063,1.01195543590741,NA,"BBC News online",0
43983614,0.910844741517915,5,"BBC News online",1
44199329,0.717981833366672,NA,"BBC News online",0
44631876,0.817407164620393,4,"BBC News online",1
44643491,0.765847326092285,3,"BBC News online",1
44649116,0.784162620215093,2,"BBC News online",0
44661143,1.45946841545958,6,"BBC News online",0
44667881,0.756132193432155,3,"BBC News online",0
44672709,1.03853157643102,NA,"BBC News online",0
44698931,0.819384215656975,3,"BBC News online",0
44790445,0.846020986145008,1,"BBC News online",1
44812787,0.95586767490274,3,"BBC News online",1
44859114,1.41137521153932,NA,"BBC News online",0
44903992,0.900631603709599,2,"BBC News online",0
44944964,0.84863250636115,4,"BBC News online",1
44946802,0.910111462503697,3,"BBC News online",1
45051112,0.912814921390253,7,"BBC News online",0
45151531,1.13301478708081,4,"BBC News online",0
45320283,0.8390006323218,4,"BBC News online",0
45370989,0.953600261879144,NA,"BBC News online",0
45393528,0.869687597110306,4,"BBC News online",0
45448884,1.28338089692779,NA,"BBC News online",0
45619796,0.973494560447607,6,"BBC News online",0
45741935,0.828577467418826,3,"BBC News online",1
45780502,0.672593447348115,2,"BBC News online",0
45958294,0.999122114579395,4,"BBC News online",1
46226260,0.830583986577563,2,"BBC News online",1
46345528,1.04969749800208,NA,"BBC News online",1
46372790,1.003491112401,2,"BBC News online",1
46578362,0.727516890904271,NA,"BBC News online",0
46752005,0.755758887871929,4,"BBC News online",0
46765185,1.05473760391594,1,"BBC News online",0
46779526,1.18483688914871,3,"BBC News online",0
46799958,0.993065273061458,4,"BBC News online",1
47258112,0.835560094170178,4,"BBC News online",1
47358632,0.771101561565534,NA,"BBC News online",0
47516953,0.85831194107099,1,"BBC News online",0
47583586,0.808791864816064,3,"BBC News online",0
47586545,0.946069117560492,NA,"BBC News online",0
47636627,0.730794969038149,6,"BBC News online",1
47661167,1.18262480891063,5,"BBC News online",1
47669255,1.06546248652522,2,"BBC News online",0
47675054,1.02691170127348,4,"BBC News online",0
47690793,0.993462051294154,4,"BBC News online",0
47735381,1.03441445765973,5,"BBC News online",1
47745998,0.683279387180257,3,"BBC News online",1
47778351,1.02803076306129,5,"BBC News online",0
47793657,0.917047842597496,NA,"BBC News online",0
47853777,1.11161963724855,NA,"BBC News online",0
47904875,0.727151386542306,1,"BBC News online",0
47949665,0.890955976786543,4,"BBC News online",0
47962048,0.752760863645947,3,"BBC News online",0
47979961,1.12267941428684,NA,"BBC News online",0
47991091,1.18879859338437,2,"BBC News online",1
47991754,1.3702258933442,3,"BBC News online",0
48001579,0.989368864154687,3,"BBC News online",1
48315198,1.07274758838559,3,"BBC News online",0
48382228,1.38154475936927,2,"BBC News online",1
48711291,0.729701827506074,6,"BBC News online",0
48788760,1.16706528990819,1,"BBC News online",0
49350207,0.812299094949511,6,"BBC News online",0
50111974,1.266238879116,3,"BBC News online",1
51039510,0.947042510160343,NA,"BBC News online",0
51141573,0.802525094258597,NA,"BBC News online",0
51151934,1.08766107075745,3,"BBC News online",0
51205825,1.2916688895354,5,"BBC News online",0
52023806,0.756518380323481,2,"BBC News online",1
52052117,1.08964872142487,5,"BBC News online",1
52114037,1.24842339100706,4,"BBC News online",1
52161324,1.01044537148388,NA,"BBC News online",0
52295884,0.812323239131587,3,"BBC News online",1
52361998,0.815650431714229,NA,"BBC News online",0
52363982,0.887622663785031,2,"BBC News online",1
52471028,0.834987597606341,5,"BBC News online",0
52572254,0.912407017716603,2,"BBC News online",1
52580725,0.94367729036805,NA,"BBC News online",0
52618271,0.765847326092285,4,"BBC News online",0
52647854,0.994926306689342,6,"BBC News online",1
52675334,0.678170754168068,NA,"BBC News online",1
52731886,1.05653537236359,6,"BBC News online",1
52733844,0.947042510160343,6,"BBC News online",0
52821490,0.770024421186343,NA,"BBC News online",1
52929812,0.978489066996293,3,"BBC News online",1
52978709,0.882017873813367,5,"BBC News online",0
53088984,1.15663276814745,1,"BBC News online",0
53909359,0.852018555964852,5,"BBC News online",1
54237659,0.755605247248534,2,"BBC News online",1
54770795,0.976826118736406,5,"BBC News online",0
55242390,1.18498118682961,NA,"BBC News online",1
55251657,0.746245134352986,NA,"BBC News online",0
55547212,0.777846242675866,4,"BBC News online",1
55645879,0.895154007402913,4,"BBC News online",1
56392255,1.2495897009648,5,"BBC News online",0
56558105,1.44715692139383,4,"BBC News online",0
56566532,0.84389780870887,NA,"BBC News online",0
56576592,0.96822509508891,2,"BBC News online",1
56640358,0.689465773416466,6,"BBC News online",0
56649908,1.30953681195162,3,"BBC News online",1
56679233,0.86142096653516,1,"BBC News online",1
56713928,0.898932924060889,4,"BBC News online",1
56744467,0.730794969038149,5,"BBC News online",0
56832299,0.976826118736406,5,"BBC News online",0
56927578,1.31578321246702,2,"BBC News online",0
56931626,1.33889147039214,5,"BBC News online",1
56958546,1.02099059921259,5,"BBC News online",1
57017924,0.942380796761074,3,"BBC News online",1
